month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2019,East Price Hill,31,11,0,20,231.17,465.09,13848,5640,3857,2225,513,3.17,0.322695035,0.787443661,2.411106297,1,1287864,4082528.88,846463.8,0.207338105,71188,0.055276023,1.050057789,0,0,0,0,0,0,0,0,0,0,0
1,2019,East Walnut Hills,31,11,0,20,231.17,465.09,3905,2374.665167,354.968509,161.9228792,64.96015424,3.17,0.054825481,0.939804694,1.627011524,1,363165,1151233.05,60551.07141,0.05259671,5898.958869,0.016243192,1.008644597,0,0,0,0,0,0,0,0,0,0,0
1,2019,East Westwood,31,11,0,20,231.17,465.09,2503,1090.543121,808.9919768,456.4381182,169.6380157,3.17,0.33312742,0.744960522,2.271434279,1,232779,737909.43,168962.4606,0.228974524,16277.97948,0.0699289,1.043863947,0,0,0,0,0,0,0,0,0,0,0
1,2019,English Woods,31,11,0,20,231.17,465.09,474,204.5326969,158.8295943,87.10739857,25.11408115,3.17,0.369469027,0.633179512,2.26,1,44082,139739.94,35146.152,0.251511143,2917.758473,0.06618934,0.950879995,0,0,0,0,0,0,0,0,0,0,0
1,2019,Evanston,31,11,0,20,231.17,465.09,8382,3597.707265,1822.861401,1000.732867,406.494777,3.17,0.188057913,0.833913829,2.158989501,0.36,779526,2471097.42,314669.3455,0.127339919,13171.65075,0.016897,0.978150748,0,0,0,0,0,0,0,0,0,0,0
1,2019,Hartwell,31,11,0,20,231.17,465.09,5397,2651,829,241,190,3.17,0.105620521,0.916339072,1.98,1,501921,1591089.57,130225.2,0.081846555,11206,0.022326223,1.020511849,0,0,0,0,0,0,0,0,0,0,0
1,2019,Hyde Park,31,11,0,20,231.17,465.09,13291,6703,2567,1591,218,3.17,0.016261376,0.954528694,1.971784666,0.65,1236063,3918319.71,50694.81,0.012937895,30572.1,0.024733448,0.992200037,0,0,0,0,0,0,0,0,0,0,0
1,2019,Kennedy Heights,31,11,0,20,231.17,465.09,5057,2619,865,427,34,3.17,0.107674685,0.909102727,1.92,1,470301,1490854.17,131155.38,0.087973313,11986,0.025485806,1.022561845,0,0,0,0,0,0,0,0,0,0,0
1,2019,Linwood,31,11,0,20,231.17,465.09,687,268,202,127,39,3.17,0.28358209,0.750871946,2.56,1,63891,202534.47,35346.84,0.174522589,4316,0.06755255,0.992947085,0,0,0,0,0,0,0,0,0,0,0
1,2019,Lower Price Hill,31,11,0,20,231.17,465.09,761,249.3715139,284.9960159,83.37649402,51.54183267,3.17,0.531914894,0.52970774,2.29,1,70773,224350.41,61691.59437,0.274978746,3507.876494,0.04956518,0.854251666,0,0,0,0,0,0,0,0,0,0,0
